type,ddex_key,name
ResourceContributorRole,ProgramProducer,Program Producer
ResourceContributorRole,ProjectEngineer,Project Engineer
ResourceContributorRole,PropertyManager,Property Manager
ResourceContributorRole,PublishingDirector,Publishing Director
ResourceContributorRole,Puppeteer,Puppeteer
ResourceContributorRole,Pyrotechnician,Pyrotechnician
ResourceContributorRole,RecordingEngineer,Recording Engineer
ResourceContributorRole,RecordingSecondEngineer,Recording Second Engineer
ResourceContributorRole,Redactor,Redactor
ResourceContributorRole,ReissueProducer,Reissue Producer
ResourceContributorRole,RemixedArtist,Remixed Artist
ResourceContributorRole,Remixer,Remixer
ResourceContributorRole,RemixingEngineer,Remixing Engineer
ResourceContributorRole,RemixingSecondEngineer,Remixing Second Engineer
ResourceContributorRole,Repetiteur,Repetiteur
ResourceContributorRole,Researcher,Researcher
ResourceContributorRole,ResearchTeamHead,Research Team Head
ResourceContributorRole,ResearchTeamMember,Research Team Member
ResourceContributorRole,Restager,Restager
ResourceContributorRole,Rigger,Rigger
ResourceContributorRole,RightsControllerOnProduct,Rights Controller On Product
ResourceContributorRole,Runner,Runner
ResourceContributorRole,ScenicOperative,Scenic Operative
ResourceContributorRole,ScientificAdvisor,Scientific Advisor
ResourceContributorRole,ScreenplayAuthor,Screenplay Author
ResourceContributorRole,ScriptSupervisor,Script Supervisor
ResourceContributorRole,SecondAssistantCameraOperator,Second Assistant Camera Operator
ResourceContributorRole,SecondAssistantDirector,Second Assistant Director
ResourceContributorRole,SecondConductor,Second Conductor
ResourceContributorRole,SecondEngineer,Second Engineer
ResourceContributorRole,SecondUnitDirector,Second Unit Director
ResourceContributorRole,SeriesProducer,Series Producer
ResourceContributorRole,SetDesigner,Set Designer
ResourceContributorRole,SetDresser,Set Dresser
ResourceContributorRole,SignLanguageInterpreter,Sign Language Interpreter
ResourceContributorRole,Soloist,Soloist
ResourceContributorRole,SoundDesigner,Sound Designer
ResourceContributorRole,SoundMixer,Sound Mixer
ResourceContributorRole,SoundRecordist,Sound Recordist
ResourceContributorRole,SoundSupervisor,Sound Supervisor
ResourceContributorRole,Speaker,Speaker
ResourceContributorRole,SpecialEffectsTechnician,Special Effects Technician
ResourceContributorRole,Sponsor,Sponsor
ResourceContributorRole,StageAssistantEngineer,Stage Assistant Engineer
ResourceContributorRole,StageDirector,Stage Director
ResourceContributorRole,StageEngineer,Stage Engineer
ResourceContributorRole,StoryTeller,Story Teller
ResourceContributorRole,StringEngineer,String Engineer
ResourceContributorRole,StringProducer,String Producer
ResourceContributorRole,StringsDirector,Strings Director
ResourceContributorRole,StudioConductor,Studio Conductor
ResourceContributorRole,StudioMusician,Studio Musician
ResourceContributorRole,StudioPersonnel,Studio Personnel
ResourceContributorRole,StudioProducer,Studio Producer
ResourceContributorRole,Stunts,Stunts
ResourceContributorRole,SubtitlesEditor,Subtitles Editor
ResourceContributorRole,SubtitlesTranslator,Subtitles Translator
ResourceContributorRole,SupportingActor,Supporting Actor
ResourceContributorRole,SurroundMixingEngineer,Surround Mixing Engineer
ResourceContributorRole,SurroundMixingSecondEngineer,Surround Mixing Second Engineer
ResourceContributorRole,TapeOperator,Tape Operator
ResourceContributorRole,TechnicalDirector, TechnicalDirector
ResourceContributorRole,Tonmeister,Tonmeister
ResourceContributorRole,TrackingEngineer,Tracking Engineer
ResourceContributorRole,TrackingSecondEngineer,Tracking Second Engineer
ResourceContributorRole,TransfersAndSafetiesEngineer,Transfers And Safeties Engineer
ResourceContributorRole,TransfersAndSafetiesSecondEngineer,Transfers And Safeties Second Engineer
ResourceContributorRole,TransportationManager,Transportation Manager
ResourceContributorRole,Treatment,Treatment
ResourceContributorRole,Treatment/ProgramProposal,Treatment / Program Proposal
ResourceContributorRole,TypeDesigner,Type Designer
ResourceContributorRole,Unknown,Unknown
ResourceContributorRole,UserDefined,User Defined
ResourceContributorRole,VideoDirector,Video Director
ResourceContributorRole,Videographer,Videographer
ResourceContributorRole,VideoMusicalDirector,Video Musical Director
ResourceContributorRole,VideoProducer,Video Producer
ResourceContributorRole,VisionMixer,Vision Mixer
ResourceContributorRole,VisualEditor,Visual Editor
ResourceContributorRole,VisualEffectsTechnician,Visual Effects Technician
ResourceContributorRole,VocalArranger,Vocal Arranger
ResourceContributorRole,VocalEditingEngineer,Vocal Editing Engineer
ResourceContributorRole,VocalEditingSecondEngineer,Vocal Editing Second Engineer
ResourceContributorRole,VocalEngineer,Vocal Engineer
ResourceContributorRole,VocalProducer,Vocal Producer
ResourceContributorRole,VocalSecondEngineer,Vocal Second Engineer
ResourceContributorRole,VoiceActor,VoiceActor
ResourceContributorRole,Wardrobe,Wardrobe
RightsControllerRole,AdministratingRecordCompany,Administrating Record Company
RightsControllerRole,RightsAdministrator,Rights Administrator
RightsControllerRole,RightsController,Rights Controller
RightsControllerRole,RoyaltyAdministrator,Royalty Administrator
RightsControllerRole,Unknown,Unknown
